Participant Private ID,Task Name,Product,Response_1,Response_2,Response_3,Response_4
13397789,Both_cue,both_hed_choc.png,20,Unlikely,Somewhat valuable,Trust fairly well
13397789,Both_cue,both_hed_hd.png,95,Neutral,Moderately valuable,Trust fairly well
13397789,Both_cue,both_uti_choc.png,20,Somewhat unlikely,Somewhat valuable,Neutral
13397789,Both_cue,both_uti_hd.png,68,Unlikely,Moderately valuable,Trust fairly well
13397990,Scarcity_cue,scarcity_hed_choc.png,25,Unlikely,Somewhat valuable,Trust somewhat
13397990,Scarcity_cue,scarcity_hed_hd.png,70,Somewhat unlikely,Somewhat valuable,Neutral
13397990,Scarcity_cue,scarcity_uti_choc.png,10,Very unlikely,Slightly valuable,Do not trust at all
13397990,Scarcity_cue,scarcity_uti_hd.png,30,Very unlikely,Slightly valuable,Trust very little
13398020,Both_cue,both_hed_choc.png,30,Somewhat unlikely,Somewhat valuable,Trust somewhat
13398020,Both_cue,both_hed_hd.png,70,Neutral,Moderately valuable,Trust somewhat
13398020,Both_cue,both_uti_choc.png,10,Very unlikely,Slightly valuable,Do not trust at all
13398020,Both_cue,both_uti_hd.png,30,Very unlikely,Not valuable at all,Trust very little
13398039,Popularity_cue,popularity_hed_choc.png,6,Unlikely,Slightly valuable,Neutral
13398039,Popularity_cue,popularity_hed_hd.png,90,Unlikely,Fairly valuable,Trust somewhat
13398039,Popularity_cue,popularity_uti_choc.png,5,Very unlikely,Not valuable at all,Neutral
13398039,Popularity_cue,popularity_uti_hd.png,20,Unlikely,Slightly valuable,Neutral
13398111,Scarcity_cue,scarcity_hed_choc.png,10,Somewhat likely,Somewhat valuable,Neutral
13398111,Scarcity_cue,scarcity_hed_hd.png,12,Very unlikely,Moderately valuable,Trust somewhat
13398111,Scarcity_cue,scarcity_uti_choc.png,4,Unlikely,Slightly valuable,Neutral
13398111,Scarcity_cue,scarcity_uti_hd.png,50,Somewhat unlikely,Fairly valuable,Trust fairly well
13398130,Popularity_cue,popularity_hed_choc.png,5,Very unlikely,Slightly valuable,Neutral
13398130,Popularity_cue,popularity_hed_hd.png,150,Somewhat unlikely,Fairly valuable,Trust fairly well
13398130,Popularity_cue,popularity_uti_choc.png,3.99,Very unlikely,Slightly valuable,Trust very little
13398130,Popularity_cue,popularity_uti_hd.png,45,Unlikely,Somewhat valuable,Trust a lot
13398163,None_cue,no_hed_choc.png,18,Somewhat likely,Somewhat valuable,Trust somewhat
13398163,None_cue,no_hed_hd.png,25,Unlikely,Somewhat valuable,Trust very little
13398163,None_cue,no_uti_choc.png,18,Likely,Moderately valuable,Neutral
13398163,None_cue,no_uti_hd.png,20,Unlikely,Somewhat valuable,Trust somewhat
13398242,Both_cue,both_hed_choc.png,10,Neutral,Fairly valuable,Trust fairly well
13398242,Both_cue,both_hed_hd.png,20,Unlikely,Fairly valuable,Neutral
13398242,Both_cue,both_uti_choc.png,7,Somewhat likely,Fairly valuable,Neutral
13398242,Both_cue,both_uti_hd.png,0,Very unlikely,Somewhat valuable,Trust a lot
13398264,Scarcity_cue,scarcity_hed_choc.png,20,Neutral,Moderately valuable,Trust a lot
13398264,Scarcity_cue,scarcity_hed_hd.png,10,Very unlikely,Fairly valuable,Trust a lot
13398264,Scarcity_cue,scarcity_uti_choc.png,3,Unlikely,Slightly valuable,Neutral
13398264,Scarcity_cue,scarcity_uti_hd.png,10,Unlikely,Slightly valuable,Trust somewhat
13398503,Popularity_cue,popularity_hed_choc.png,20,Somewhat unlikely,Moderately valuable,Trust somewhat
13398503,Popularity_cue,popularity_hed_hd.png,65,Somewhat unlikely,Fairly valuable,Trust fairly well
13398503,Popularity_cue,popularity_uti_choc.png,10,Unlikely,Slightly valuable,Trust fairly well
13398503,Popularity_cue,popularity_uti_hd.png,20,Very unlikely,Slightly valuable,Trust fairly well
13398521,None_cue,no_hed_choc.png,5,Somewhat likely,Fairly valuable,Trust fairly well
13398521,None_cue,no_hed_hd.png,150,Somewhat unlikely,Somewhat valuable,Trust somewhat
13398521,None_cue,no_uti_choc.png,3,Unlikely,Slightly valuable,Trust very little
13398521,None_cue,no_uti_hd.png,80,Somewhat likely,Somewhat valuable,Trust somewhat
13398564,Scarcity_cue,scarcity_hed_choc.png,30,Somewhat likely,Fairly valuable,Neutral
13398564,Scarcity_cue,scarcity_hed_hd.png,100,Somewhat unlikely,Moderately valuable,Neutral
13398564,Scarcity_cue,scarcity_uti_choc.png,20,Somewhat likely,Moderately valuable,Neutral
13398564,Scarcity_cue,scarcity_uti_hd.png,60,Somewhat unlikely,Somewhat valuable,Trust very little
13398579,Both_cue,both_hed_choc.png,20,Unlikely,Somewhat valuable,Neutral
13398579,Both_cue,both_hed_hd.png,50,Somewhat likely,Fairly valuable,Neutral
13398579,Both_cue,both_uti_choc.png,25,Unlikely,Somewhat valuable,Trust fairly well
13398579,Both_cue,both_uti_hd.png,45,Somewhat unlikely,Slightly valuable,Trust very little
13398917,None_cue,no_hed_choc.png,30,Neutral,Fairly valuable,Trust fairly well
13398917,None_cue,no_hed_hd.png,100,Somewhat unlikely,Moderately valuable,Neutral
13398917,None_cue,no_uti_choc.png,10,Somewhat unlikely,Slightly valuable,Neutral
13398917,None_cue,no_uti_hd.png,50,Somewhat unlikely,Slightly valuable,Trust somewhat
13401185,Both_cue,both_hed_choc.png,20,Somewhat unlikely,Somewhat valuable,Trust somewhat
13401185,Both_cue,both_hed_hd.png,15,Unlikely,Not valuable at all,Do not trust at all
13401185,Both_cue,both_uti_choc.png,10,Somewhat likely,Moderately valuable,Trust fairly well
13401185,Both_cue,both_uti_hd.png,19,Unlikely,Slightly valuable,Trust very little
13404796,Both_cue,both_hed_choc.png,50,Somewhat likely,Very valuable,Trust somewhat
13404796,Both_cue,both_hed_hd.png,150,Somewhat unlikely,Fairly valuable,Trust very little
13404796,Both_cue,both_uti_choc.png,5,Unlikely,Slightly valuable,Do not trust at all
13404796,Both_cue,both_uti_hd.png,50,Very unlikely,Somewhat valuable,Trust somewhat
13405085,Scarcity_cue,scarcity_hed_choc.png,20,Somewhat likely,Slightly valuable,Trust somewhat
13405085,Scarcity_cue,scarcity_hed_hd.png,0,Very unlikely,Moderately valuable,Trust somewhat
13405085,Scarcity_cue,scarcity_uti_choc.png,0,Very unlikely,Not valuable at all,Trust somewhat
13405085,Scarcity_cue,scarcity_uti_hd.png,20,Somewhat unlikely,Not valuable at all,Neutral
13405319,None_cue,no_hed_choc.png,20,Neutral,Slightly valuable,Trust completely
13405319,None_cue,no_hed_hd.png,100,Somewhat unlikely,Somewhat valuable,Trust a lot
13405319,None_cue,no_uti_choc.png,10,Very unlikely,Not valuable at all,Trust very little
13405319,None_cue,no_uti_hd.png,60,Very unlikely,Slightly valuable,Neutral
13406503,Both_cue,both_hed_choc.png,20,Somewhat unlikely,Slightly valuable,Trust somewhat
13406503,Both_cue,both_hed_hd.png,110,Neutral,Fairly valuable,Trust fairly well
13406503,Both_cue,both_uti_choc.png,10,Somewhat likely,Not valuable at all,Trust somewhat
13406503,Both_cue,both_uti_hd.png,100,Neutral,Moderately valuable,Trust fairly well
13414608,Both_cue,both_hed_choc.png,50,Neutral,Moderately valuable,Neutral
13414608,Both_cue,both_hed_hd.png,200,Neutral,Moderately valuable,Neutral
13414608,Both_cue,both_uti_choc.png,7,Somewhat unlikely,Moderately valuable,Trust fairly well
13414608,Both_cue,both_uti_hd.png,125,Neutral,Moderately valuable,Neutral
