Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-7gnq,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: hedonic,Spreadsheet: uti,Manipulation: Spreadsheet,branch-4sm5
﻿1,1.74699E+12,"11/05/2025, 20:13:02",1.74698E+12,-5,"11/05/2025, 10:13:02",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,consent
2,1.74699E+12,"11/05/2025, 20:13:25",1.74698E+12,-5,"11/05/2025, 10:13:25",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 2,ebpf5f,1,continue,,21297.19,21283.188,21297.19,21297.19,21283.188,21297.19,1,0,0,,Click To Continue,Continue Button,3,object-9,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
3,1.74699E+12,"11/05/2025, 20:14:46",1.74698E+12,-5,"11/05/2025, 10:14:46",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 3,fqpwl6,2,response,20,28316.381,81532.578,81549.202,28316.381,81532.578,81549.202,1,53232.821,0,,Single Number Entry,Single Number Entry,6,object-42,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
4,1.74699E+12,"11/05/2025, 20:14:46",1.74698E+12,-5,"11/05/2025, 10:14:46",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 3,fqpwl6,2,response,Unlikely,11133.255,81532.578,81549.244,11133.255,81532.578,81549.244,1,70415.989,0,,Rating Scale,Rating Scale,4,object-15,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
5,1.74699E+12,"11/05/2025, 20:15:21",1.74698E+12,-5,"11/05/2025, 10:15:21",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 9,1162ry,3,continue,,34691.224,34682.909,34691.224,34691.224,34682.909,34691.224,1,0,0,,Click To Continue,Continue Button,6,object-103,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
6,1.74699E+12,"11/05/2025, 20:15:21",1.74698E+12,-5,"11/05/2025, 10:15:21",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 9,1162ry,3,response,Somewhat valuable,31166.383,34682.909,34694.524,31166.383,34682.909,34694.524,1,3528.141,0,,Rating Scale,Rating Scale,3,object-98,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
7,1.74699E+12,"11/05/2025, 20:15:21",1.74698E+12,-5,"11/05/2025, 10:15:21",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 9,1162ry,3,response,Trust fairly well,26116.246,34682.909,34694.924,26116.246,34682.909,34694.924,1,8578.678,0,,Rating Scale,Rating Scale,5,object-101,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
8,1.74699E+12,"11/05/2025, 20:15:42",1.74698E+12,-5,"11/05/2025, 10:15:42",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 6,hdb9ih,4,continue,,21342.115,21333.374,21342.115,21342.115,21333.374,21342.115,1,0,0,,Click To Continue,Continue Button,3,object-625,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
9,1.74699E+12,"11/05/2025, 20:16:22",1.74698E+12,-5,"11/05/2025, 10:16:22",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 7,anxxu9,5,response,20,9449.622,39982.744,39991.341,9449.622,39982.744,39991.341,1,30541.719,0,,Single Number Entry,Single Number Entry,6,object-73,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
10,1.74699E+12,"11/05/2025, 20:16:22",1.74698E+12,-5,"11/05/2025, 10:16:22",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 7,anxxu9,5,response,Somewhat unlikely,5933.096,39982.744,39993.741,5933.096,39982.744,39993.741,1,34060.645,0,,Rating Scale,Rating Scale,4,object-71,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
11,1.74699E+12,"11/05/2025, 20:16:41",1.74698E+12,-5,"11/05/2025, 10:16:41",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 10,evnn3p,6,continue,,19041.797,19033.336,19041.797,19041.797,19033.336,19041.797,1,0,0,,Click To Continue,Continue Button,6,object-110,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
12,1.74699E+12,"11/05/2025, 20:16:41",1.74698E+12,-5,"11/05/2025, 10:16:41",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 10,evnn3p,6,response,Somewhat valuable,5700.213,19033.336,19044.497,5700.213,19033.336,19044.497,1,13344.284,0,,Rating Scale,Rating Scale,3,object-107,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
13,1.74699E+12,"11/05/2025, 20:16:41",1.74698E+12,-5,"11/05/2025, 10:16:41",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 1,Screen 10,evnn3p,6,response,Neutral,15149.835,19033.336,19044.797,15149.835,19033.336,19044.797,1,3894.962,0,,Rating Scale,Rating Scale,5,object-109,Display 1,both_hed_choc.png,both_uti_choc.png,,consent
14,1.74699E+12,"11/05/2025, 20:17:00",1.74698E+12,-5,"11/05/2025, 10:17:00",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 2,Screen 2,7hdzze,1,continue,,18525.161,18516.553,18525.161,18525.161,18516.553,18525.161,1,0,0,,Click To Continue,Continue Button,3,object-50,Display 2,both_uti_hd.png,both_hed_hd.png,,consent
15,1.74699E+12,"11/05/2025, 20:17:58",1.74698E+12,-5,"11/05/2025, 10:17:58",226982,8,task-cicn,,46070396,13397789,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,WeChat 6.8.0,1470x956,920x793,,Both_cue,5,P+S,Spreadsheet1,1,Display 2,Screen 3,9p8xm6,2,response,68,23816.412,58666,58677.508,23816.412,58666,58677.508,1,34861.096,0,,Single Number Entry,Single Number Entry,6,object-58,Display 2,both_uti_hd.png,both_hed_hd.png,,consent
